title,price,size,address,link
PANDION MIDTOWN,308.900 - 1.598.900 €,"63,00 - 122,00 m²","Pufendorfstraße 3, Friedrichshain, Berlin",https://www.immobilienscout24.de/neubau/pandion-vertriebsgesellschaft-mbh/pandion-midtown/85743.html
PANDION LVL UP,299.900 - 1.090.900 €,"27,00 - 98,00 m²","Kreuzberg, Berlin",https://www.immobilienscout24.de/neubau/pandion-ag/pandion-lvl-up/132882.html
,1.280.000 €,"110,85 m²","Wilmersdorf, Berlin",
NEUZwieseler Hof,204.000 - 844.000 €,"30,00 - 119,00 m²","Zwieseler Straße 164, Karlshorst, Berlin",https://www.immobilienscout24.de/neubau/wvm-vertriebsgesellschaft-mbh/zwieseler-hof/134846.html
,998.998 €,"211,18 m²","Angerburger Allee 29, Westend, Berlin",
,483.000 €,"73,98 m²","Zwieseler Straße 164, Karlshorst, Berlin",
Modernes Wohnen im Erstbezug,696.000 - 1.180.000 €,"93,00 - 156,00 m²","Wilhelmsruh, Berlin",https://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-gmbh/modernes-wohnen-im-erstbezug/135987.html
Aachener Straße 35-38,135.000 - 1.555.000 €,"29,00 - 170,00 m²","Aachener Straße  35-38, Wilmersdorf, Berlin",https://www.immobilienscout24.de/neubau/wvm-vertriebsgesellschaft-mbh/aachener-strasse-35-38/128160.html
BUWOG DECK 3,344.000 - 980.000 €,"55,10 - 141,00 m²","An der Dahme 0, Grünau, Berlin",https://www.immobilienscout24.de/neubau/buwog-regattastrasse-development-gmbh/buwog-deck-3/127730.html
NEUMarlene und Dietrich,495.000 - 1.415.000 €,"58,00 - 122,00 m²","Lauterplatz/ Friedenauer Höhe -, Friedenau, Berlin",https://www.immobilienscout24.de/neubau/instone-real-estate-development-gmbh-niederlassung-berlin/marlene-und-dietrich/110061.html
Weitblick,375 - 675 €,"58,00 - 96,00 m²","Französisch Buchholz, Berlin",https://www.immobilienscout24.de/neubau/m-e-w-immobilien-gmbh/weitblick/135507.html
RIVA LIVING - Wohnen am Wasser,563.100 - 1.814.000 €,"56,00 - 197,00 m²","Wendenschloßstraße 158 - 174, Köpenick, Berlin",https://www.immobilienscout24.de/neubau/zovia-immobilien-gmbh/riva-living-wohnen-am-wasser/127302.html
HAUS°11 in Zehlendorf: Q1 2025 einziehen,767.118 - 2.315.432 €,"95,00 - 258,00 m²","Schönower Straße 11, Zehlendorf, Berlin",https://www.immobilienscout24.de/neubau/accord-estates-gmbh/haus-11-in-zehlendorf-q1-2025-einziehen/132230.html
KarlLotta,337.000 - 2.215.000 €,"37,00 - 247,00 m²","Albrechtstrasse 24, Steglitz, Berlin",https://www.immobilienscout24.de/neubau/accord-estates-gmbh/karllotta/120012.html
Forest Homes,601.908 - 824.159 €,"77,00 - 99,00 m²","Waldstraße 14, Adlershof, Berlin",https://www.immobilienscout24.de/neubau/northern-hillroad-capital/forest-homes/132611.html
,519.700 €,70 m²,"Roelckestraße 111, Weißensee, Berlin",
,279.000 €,31 m²,"Prenzlauer Berg, Berlin",
,995.000 €,143 m²,"Prenzlauer Berg, Berlin",
,1.850.000 €,250 m²,"Weißensee, Berlin",
,720.000 €,173 m²,"Seydlitzstraße 24a, Lankwitz, Berlin",
